vendor,model,MYCT,MMIN,MMAX,CACH,CHMIN,CHMAX,class
25,182,105,2000,4000,8,3,8,22
14,78,180,768,12000,6,1,31,84
18,134,50,2000,16000,24,6,16,54
16,112,225,2000,4000,8,3,6,34
2,11,60,2000,8000,65,1,8,92
12,63,75,2000,16000,64,1,38,144
21,157,84,1000,2000,0,1,6,12
16,100,115,512,6000,16,1,6,45
21,159,56,2000,6000,0,1,8,21
3,13,350,64,64,0,1,4,10
15,90,140,2000,32000,32,1,54,189
4,21,143,2300,6200,0,6,64,61
0,8,23,32000,64000,128,32,64,1144
21,163,56,4000,16000,0,1,8,46
15,85,140,2000,4000,0,4,8,40
25,185,52,4000,16000,32,4,12,130
15,84,140,2000,4000,0,3,6,29
6,29,25,1310,2620,131,12,24,274
28,206,480,512,8000,32,0,0,67
21,167,38,8000,24000,160,4,8,140
7,38,50,1000,4000,8,3,5,26
13,65,90,256,1000,0,3,10,17
9,53,110,1000,4000,16,1,2,26
15,91,140,2000,4000,8,1,20,22
8,45,810,512,512,8,1,1,18
17,126,50,2000,8000,8,1,6,56
16,98,480,96,512,0,1,1,6
26,198,30,8000,64000,128,12,176,1150
8,46,810,1000,5000,0,1,1,20
24,178,160,1000,8000,16,1,14,60
14,74,300,768,12000,6,6,24,50
16,93,57,4000,24000,64,12,16,237
0,2,29,8000,32000,32,8,32,172
23,173,250,512,4000,0,4,7,50
20,142,75,4000,16000,16,1,6,66
0,7,23,16000,64000,64,16,32,636
16,120,17,4000,16000,32,6,12,133
21,162,56,4000,12000,0,1,8,42
10,57,800,256,8000,0,1,4,14
25,180,240,512,1000,8,1,3,6
16,108,900,1000,4000,4,1,2,18
16,113,180,2000,8000,8,1,6,50
4,16,143,512,5000,0,7,32,28
14,75,300,768,4500,0,1,24,45
16,114,185,2000,16000,16,1,6,76
7,40,50,2000,16000,8,3,5,40
20,139,92,2000,8000,32,1,6,62
16,103,600,768,2000,0,1,1,16
5,23,320,128,6000,0,1,12,23
4,18,110,5000,5000,142,8,64,120
10,60,800,256,8000,0,1,4,22
20,155,30,16000,32000,256,16,24,510
16,95,26,16000,32000,64,8,24,465
4,15,167,524,2000,8,4,15,19
16,122,1500,768,2000,0,0,0,18
17,127,50,2000,16000,24,1,6,70
4,17,143,1000,2000,0,5,16,31
16,109,900,1000,4000,8,1,2,22
0,5,23,16000,32000,64,16,32,367
20,149,40,8000,16000,32,8,16,214
17,129,50,8000,16000,48,1,10,136
21,158,56,1000,4000,0,1,6,17
4,20,143,3100,6200,0,5,20,33
27,205,125,2000,8000,0,2,14,52
0,0,29,8000,32000,32,8,32,269
0,3,29,8000,16000,32,8,16,132
15,79,330,1000,3000,0,2,4,16
20,152,38,16000,32000,128,16,32,510
9,55,220,1000,8000,16,1,2,71
25,181,240,512,2000,8,1,5,11
16,110,900,2000,4000,0,3,6,37
26,194,50,2000,32000,48,26,52,208
18,132,100,1000,8000,24,3,6,32
12,62,75,2000,8000,64,1,38,144
6,37,50,2000,8000,8,1,5,71
25,191,26,8000,32000,128,24,32,405
21,168,38,4000,16000,128,16,32,212
17,125,50,2000,8000,8,3,6,45
6,30,25,1310,2620,131,12,24,368
18,130,100,1000,8000,0,2,6,16
10,59,800,256,8000,0,1,4,16
9,49,700,384,8000,0,1,1,24
20,147,72,4000,16000,64,8,16,143
23,174,250,1000,16000,1,1,8,50
25,190,26,8000,32000,64,12,16,248
20,154,38,8000,32000,64,8,24,326
15,83,330,1000,4000,0,3,6,22
16,106,900,1000,1000,0,1,2,11
6,35,50,500,2000,8,1,4,20
16,107,900,512,1000,0,1,2,11
25,188,59,8000,16000,64,12,24,188
22,170,200,1000,4000,0,1,4,30
9,52,200,1000,8000,0,1,2,36
7,41,50,2000,16000,8,3,6,52
16,104,400,2000,4000,0,1,1,32
5,25,320,256,6000,0,1,6,33
20,140,92,2000,8000,32,1,6,60
25,186,70,4000,12000,8,6,8,75
2,12,50,4000,16000,65,1,8,138
9,50,700,256,2000,0,1,1,24
21,164,38,4000,8000,32,16,32,51
26,192,116,2000,8000,32,5,28,70
13,66,105,256,2000,0,3,10,26
6,32,50,2620,10480,30,12,24,63
16,101,1100,512,1500,0,1,1,7
0,4,26,8000,32000,64,8,32,318
25,189,26,8000,24000,32,8,16,173
6,34,64,5240,20970,30,12,24,208
20,151,35,8000,32000,64,8,24,370
13,71,175,256,2000,0,3,24,22
13,67,105,1000,4000,0,3,24,32
16,99,203,1000,2000,0,1,5,24
21,166,38,8000,16000,64,4,8,100
16,92,57,4000,16000,1,6,12,132
16,121,1500,768,1000,0,0,0,12
16,96,26,8000,32000,0,8,24,277
21,156,112,1000,1000,0,1,4,8
3,14,200,512,16000,0,4,32,35
20,138,115,2000,4000,2,1,5,40
15,80,300,1000,4000,8,3,64,38
1,9,400,1000,3000,0,1,2,38
7,39,50,1000,8000,8,3,5,36
22,169,200,1000,2000,0,1,2,25
11,61,125,512,1000,0,8,20,36
5,24,320,512,2000,4,1,3,69
20,144,60,2000,16000,64,5,8,74
16,105,400,4000,8000,0,1,1,32
5,26,320,256,3000,4,1,3,27
23,172,250,512,4000,0,1,7,25
5,28,320,256,5000,4,1,6,27
8,47,320,512,8000,4,1,5,40
13,68,105,2000,4000,8,3,19,32
26,195,50,2000,32000,112,52,104,307
16,115,180,2000,16000,16,1,6,66
14,77,300,192,768,6,6,24,36
9,54,110,1000,12000,16,1,2,60
20,141,92,2000,8000,4,1,6,50
9,51,140,1000,16000,16,1,3,138
16,118,25,2000,12000,16,3,5,66
