CV,Kliep,MKliep,KernelDensity,MKernelDensity
5.0,2.0,3.0,1.0,4.0
4.0,1.0,3.0,5.0,2.0
1.0,4.0,2.0,5.0,3.0
5.0,2.0,3.0,1.0,4.0
4.0,1.0,3.0,5.0,2.0
5.0,2.0,3.0,1.0,4.0
5.0,2.0,3.0,1.0,4.0
5.0,2.0,4.0,1.0,3.0
5.0,2.0,3.0,1.0,4.0
5.0,2.0,3.0,1.0,4.0
5.0,2.0,3.0,1.0,4.0
5.0,2.0,4.0,1.0,3.0
5.0,2.0,3.0,1.0,4.0
4.0,1.0,3.0,5.0,2.0
1.0,4.0,2.0,5.0,3.0
4.0,3.0,2.0,5.0,1.0
3.0,4.0,1.0,5.0,2.0
5.0,2.0,3.0,1.0,4.0
1.0,4.0,2.0,5.0,3.0
3.0,4.0,1.0,5.0,2.0

4.0,2.4,2.7,2.8,3.1

1.4142,1.0198,0.781,1.99,0.9434

1.6275,1.364,1.23
