CV,Kliep,MKliep,KernelDensity,MKernelDensity
1.0,4.0,3.0,5.0,2.0
5.0,3.0,2.0,1.0,4.0
1.0,4.0,2.0,5.0,3.0
1.0,4.0,3.0,5.0,2.0
1.0,4.0,3.0,5.0,2.0
4.0,1.0,3.0,5.0,2.0
2.0,4.0,1.0,5.0,3.0
5.0,2.0,4.0,1.0,3.0
3.0,4.0,2.0,5.0,1.0
1.0,3.0,2.0,5.0,4.0
2.0,4.0,1.0,5.0,3.0
5.0,1.0,3.0,2.0,4.0
1.0,4.0,2.0,5.0,3.0
4.0,3.0,1.0,5.0,2.0
4.0,3.0,1.0,5.0,2.0
1.0,4.0,3.0,5.0,2.0
3.0,4.0,1.0,5.0,2.0
2.0,4.0,1.0,5.0,3.0
5.0,2.0,4.0,1.0,3.0
5.0,2.0,3.0,4.0,1.0

2.8,3.2,2.25,4.2,2.55

1.631,1.0296,0.9937,1.5033,0.8646

1.6275,1.364,1.23
