CV,Kliep,MKliep,KernelDensity,MKernelDensity
5.0,1.0,2.0,4.0,3.0
4.0,1.0,2.0,5.0,3.0
4.0,5.0,3.0,1.0,2.0
5.0,2.0,3.0,1.0,4.0
5.0,2.0,3.0,1.0,4.0
1.0,5.0,3.0,4.0,2.0
2.0,5.0,3.0,4.0,1.0
1.0,4.0,3.0,5.0,2.0
5.0,1.0,2.0,4.0,3.0
5.0,4.0,3.0,1.0,2.0
1.0,5.0,4.0,2.0,3.0
2.0,5.0,4.0,3.0,1.0
5.0,4.0,3.0,1.0,2.0
3.0,5.0,2.0,4.0,1.0
5.0,2.0,3.0,1.0,4.0
1.0,5.0,3.0,4.0,2.0
3.0,5.0,2.0,4.0,1.0
4.0,5.0,3.0,1.0,2.0
1.0,4.0,3.0,5.0,2.0
1.0,5.0,3.0,4.0,2.0

3.15,3.75,2.85,2.95,2.3

1.6815,1.5452,0.5723,1.5644,0.9539

1.6275,1.364,1.23
