CV,Kliep,MKliep,KernelDensity,MKernelDensity
3.0,1.0,4.0,2.0,5.0
4.0,5.0,2.0,3.0,1.0
2.0,3.0,1.0,4.0,5.0
4.0,3.0,5.0,1.0,2.0
3.0,4.0,2.0,5.0,1.0
3.0,4.0,2.0,5.0,1.0
1.0,2.0,5.0,4.0,3.0
2.0,4.0,5.0,3.0,1.0
3.0,1.0,5.0,2.0,4.0
4.0,5.0,2.0,1.0,3.0
3.0,4.0,2.0,5.0,1.0
3.0,4.0,1.0,5.0,2.0
4.0,1.0,2.0,5.0,3.0
2.0,5.0,3.0,1.0,4.0
4.0,3.0,5.0,1.0,2.0
5.0,4.0,2.0,3.0,1.0
4.0,5.0,2.0,3.0,1.0
3.0,4.0,1.0,5.0,2.0
5.0,4.0,2.0,1.0,3.0
4.0,3.0,5.0,1.0,2.0

3.3,3.45,2.9,3.0,2.35

1.005,1.2835,1.5133,1.6125,1.3143

1.6275,1.364,1.23
