CV,Kliep,MKliep,KernelDensity,MKernelDensity
1.0,3.0,5.0,2.0,4.0
1.0,5.0,4.0,3.0,2.0
3.0,4.0,2.0,5.0,1.0
1.0,5.0,4.0,2.0,3.0
1.0,3.0,4.0,2.0,5.0
1.0,3.0,5.0,2.0,4.0
1.0,3.0,5.0,2.0,4.0
1.0,3.0,5.0,2.0,4.0
1.0,3.0,5.0,2.0,4.0
1.0,4.0,3.0,5.0,2.0
1.0,5.0,4.0,3.0,2.0
1.0,4.0,2.0,5.0,3.0
1.0,3.0,5.0,2.0,4.0
1.0,5.0,4.0,3.0,2.0
1.0,5.0,3.0,4.0,2.0
1.0,5.0,4.0,3.0,2.0
1.0,3.0,5.0,2.0,4.0
3.0,4.0,2.0,5.0,1.0
1.0,5.0,3.0,4.0,2.0
4.0,5.0,2.0,3.0,1.0

1.35,4.0,3.8,3.05,2.8

0.8529,0.8944,1.1225,1.1608,1.2083

1.6275,1.364,1.23
