CV,Kliep,MKliep,KernelDensity,MKernelDensity
5.0,3.0,2.0,4.0,1.0
5.0,3.0,2.0,4.0,1.0
1.0,3.0,5.0,4.0,2.0
4.0,2.0,5.0,3.0,1.0
3.0,5.0,2.0,4.0,1.0
5.0,3.0,2.0,4.0,1.0
4.0,1.0,5.0,3.0,2.0
4.0,5.0,2.0,3.0,1.0
5.0,3.0,2.0,4.0,1.0
5.0,3.0,1.0,4.0,2.0
3.0,4.0,5.0,2.0,1.0
3.0,4.0,1.0,5.0,2.0
4.0,2.0,5.0,3.0,1.0
5.0,3.0,2.0,4.0,1.0
5.0,3.0,2.0,4.0,1.0
5.0,3.0,2.0,4.0,1.0
5.0,3.0,2.0,4.0,1.0
3.0,4.0,5.0,2.0,1.0
4.0,5.0,2.0,3.0,1.0
5.0,3.0,2.0,4.0,1.0

4.15,3.25,2.8,3.6,1.2

1.0618,0.9937,1.4697,0.7348,0.4

1.6275,1.364,1.23
