CV,Kliep,MKliep,KernelDensity,MKernelDensity
3.0,5.0,4.0,1.0,2.0
5.0,2.0,4.0,1.0,3.0
4.0,5.0,2.0,3.0,1.0
5.0,4.0,3.0,1.0,2.0
1.0,3.0,5.0,2.0,4.0
5.0,4.0,3.0,1.0,2.0
1.0,3.0,4.0,2.0,5.0
4.0,5.0,3.0,1.0,2.0
2.0,3.0,5.0,1.0,4.0
5.0,4.0,3.0,1.0,2.0
1.0,5.0,4.0,2.0,3.0
3.0,2.0,5.0,1.0,4.0
4.0,5.0,3.0,1.0,2.0
5.0,4.0,3.0,1.0,2.0
3.0,1.0,4.0,2.0,5.0
3.0,5.0,2.0,4.0,1.0
5.0,4.0,1.0,3.0,2.0
3.0,2.0,5.0,1.0,4.0
5.0,1.0,2.0,4.0,3.0
4.0,5.0,2.0,3.0,1.0

3.55,3.6,3.35,1.8,2.7

1.3955,1.3565,1.1522,1.0296,1.2288

1.6275,1.364,1.23
