CV,Kliep,MKliep,KernelDensity,MKernelDensity
5.0,1.0,3.0,2.0,4.0
5.0,2.0,3.0,1.0,4.0
5.0,2.0,3.0,1.0,4.0
3.0,1.0,4.0,2.0,5.0
5.0,1.0,3.0,2.0,4.0
5.0,2.0,4.0,1.0,3.0
5.0,2.0,3.0,1.0,4.0
2.0,1.0,3.0,5.0,4.0
4.0,3.0,1.0,5.0,2.0
5.0,2.0,4.0,1.0,3.0
3.0,1.0,4.0,2.0,5.0
5.0,1.0,4.0,2.0,3.0
5.0,2.0,3.0,1.0,4.0
4.0,1.0,2.0,5.0,3.0
3.0,4.0,2.0,5.0,1.0
3.0,4.0,1.0,5.0,2.0
5.0,1.0,3.0,2.0,4.0
5.0,1.0,4.0,2.0,3.0
5.0,1.0,3.0,2.0,4.0
5.0,1.0,3.0,2.0,4.0
5.0,3.0,1.0,4.0,2.0
5.0,3.0,1.0,4.0,2.0
5.0,1.0,3.0,2.0,4.0
5.0,4.0,3.0,1.0,2.0
5.0,2.0,4.0,1.0,3.0
5.0,3.0,1.0,4.0,2.0
5.0,2.0,4.0,1.0,3.0
5.0,2.0,1.0,4.0,3.0
4.0,1.0,2.0,5.0,3.0
5.0,3.0,2.0,4.0,1.0
5.0,2.0,4.0,1.0,3.0
2.0,1.0,4.0,5.0,3.0
5.0,3.0,2.0,4.0,1.0
5.0,3.0,2.0,4.0,1.0
1.0,4.0,3.0,5.0,2.0
5.0,4.0,2.0,3.0,1.0
5.0,4.0,3.0,1.0,2.0
5.0,4.0,3.0,1.0,2.0
5.0,3.0,1.0,4.0,2.0
5.0,1.0,3.0,4.0,2.0
4.0,3.0,1.0,5.0,2.0
5.0,2.0,4.0,1.0,3.0
5.0,1.0,4.0,2.0,3.0
5.0,4.0,1.0,3.0,2.0
5.0,1.0,2.0,4.0,3.0
2.0,4.0,1.0,5.0,3.0
5.0,3.0,1.0,4.0,2.0
5.0,4.0,1.0,3.0,2.0
5.0,3.0,2.0,4.0,1.0
5.0,3.0,2.0,4.0,1.0
5.0,1.0,3.0,2.0,4.0
5.0,4.0,2.0,1.0,3.0
2.0,4.0,1.0,5.0,3.0
5.0,1.0,2.0,4.0,3.0
5.0,2.0,3.0,1.0,4.0
5.0,1.0,3.0,2.0,4.0
5.0,2.0,3.0,1.0,4.0
5.0,3.0,1.0,4.0,2.0
5.0,3.0,1.0,4.0,2.0
5.0,1.0,2.0,4.0,3.0
5.0,3.0,1.0,4.0,2.0
5.0,1.0,3.0,2.0,4.0
5.0,3.0,2.0,1.0,4.0
5.0,2.0,3.0,1.0,4.0
5.0,2.0,3.0,1.0,4.0
5.0,2.0,3.0,1.0,4.0
5.0,2.0,4.0,1.0,3.0
5.0,2.0,1.0,4.0,3.0
5.0,2.0,3.0,1.0,4.0
5.0,2.0,1.0,4.0,3.0
5.0,3.0,1.0,4.0,2.0
5.0,1.0,3.0,2.0,4.0
5.0,3.0,2.0,1.0,4.0
5.0,2.0,3.0,1.0,4.0
4.0,1.0,3.0,2.0,5.0
5.0,2.0,1.0,4.0,3.0
5.0,2.0,1.0,4.0,3.0
5.0,3.0,2.0,1.0,4.0
5.0,3.0,2.0,1.0,4.0
5.0,2.0,3.0,1.0,4.0
1.0,3.0,5.0,2.0,4.0
1.0,5.0,4.0,3.0,2.0
3.0,4.0,2.0,5.0,1.0
1.0,5.0,4.0,2.0,3.0
1.0,3.0,4.0,2.0,5.0
1.0,3.0,5.0,2.0,4.0
1.0,3.0,5.0,2.0,4.0
1.0,3.0,5.0,2.0,4.0
1.0,3.0,5.0,2.0,4.0
1.0,4.0,3.0,5.0,2.0
1.0,5.0,4.0,3.0,2.0
1.0,4.0,2.0,5.0,3.0
1.0,3.0,5.0,2.0,4.0
1.0,5.0,4.0,3.0,2.0
1.0,5.0,3.0,4.0,2.0
1.0,5.0,4.0,3.0,2.0
1.0,3.0,5.0,2.0,4.0
3.0,4.0,2.0,5.0,1.0
1.0,5.0,3.0,4.0,2.0
4.0,5.0,2.0,3.0,1.0

3.98,2.6,2.7,2.76,2.96

1.581,1.2329,1.1958,1.4568,1.0763

0.7278,0.61,0.5501
