CV,Kliep,MKliep,KernelDensity,MKernelDensity
4.0,2.0,5.0,3.0,1.0
4.0,1.0,5.0,2.0,3.0
5.0,3.0,1.0,4.0,2.0
5.0,3.0,1.0,4.0,2.0
4.0,1.0,5.0,3.0,2.0
4.0,5.0,1.0,3.0,2.0
4.0,2.0,5.0,3.0,1.0
3.0,4.0,2.0,5.0,1.0
3.0,4.0,2.0,5.0,1.0
1.0,5.0,3.0,4.0,2.0
2.0,3.0,5.0,4.0,1.0
4.0,5.0,2.0,3.0,1.0
4.0,5.0,2.0,3.0,1.0
4.0,3.0,1.0,5.0,2.0
4.0,2.0,5.0,3.0,1.0
5.0,3.0,2.0,4.0,1.0
5.0,3.0,2.0,4.0,1.0
4.0,2.0,5.0,3.0,1.0
5.0,3.0,1.0,4.0,2.0
4.0,5.0,2.0,3.0,1.0
4.0,2.0,5.0,3.0,1.0
3.0,5.0,2.0,4.0,1.0
4.0,2.0,5.0,3.0,1.0
4.0,2.0,5.0,3.0,1.0
3.0,5.0,1.0,4.0,2.0
3.0,4.0,2.0,5.0,1.0
3.0,4.0,5.0,2.0,1.0
5.0,3.0,2.0,4.0,1.0
5.0,3.0,1.0,4.0,2.0
3.0,4.0,5.0,2.0,1.0
3.0,4.0,5.0,2.0,1.0
3.0,2.0,5.0,1.0,4.0
3.0,5.0,4.0,2.0,1.0
1.0,5.0,2.0,4.0,3.0
5.0,3.0,2.0,4.0,1.0
4.0,5.0,1.0,3.0,2.0
4.0,2.0,5.0,3.0,1.0
4.0,2.0,5.0,3.0,1.0
5.0,4.0,2.0,3.0,1.0
2.0,4.0,5.0,3.0,1.0
3.0,5.0,4.0,2.0,1.0
1.0,3.0,5.0,2.0,4.0
1.0,5.0,4.0,2.0,3.0
5.0,4.0,2.0,3.0,1.0
5.0,3.0,1.0,4.0,2.0
4.0,5.0,1.0,3.0,2.0
2.0,5.0,1.0,4.0,3.0
1.0,4.0,5.0,2.0,3.0
3.0,4.0,5.0,2.0,1.0
3.0,5.0,2.0,4.0,1.0
4.0,2.0,5.0,3.0,1.0
3.0,4.0,5.0,2.0,1.0
5.0,3.0,2.0,4.0,1.0
4.0,3.0,5.0,2.0,1.0
1.0,5.0,3.0,4.0,2.0
4.0,5.0,1.0,3.0,2.0
5.0,1.0,2.0,4.0,3.0
5.0,3.0,1.0,4.0,2.0
4.0,2.0,5.0,3.0,1.0
4.0,2.0,5.0,3.0,1.0
4.0,2.0,5.0,1.0,3.0
1.0,3.0,5.0,2.0,4.0
4.0,1.0,5.0,3.0,2.0
4.0,3.0,1.0,5.0,2.0
5.0,2.0,3.0,4.0,1.0
5.0,3.0,1.0,4.0,2.0
1.0,3.0,5.0,2.0,4.0
5.0,2.0,1.0,4.0,3.0
4.0,5.0,2.0,3.0,1.0
5.0,3.0,1.0,4.0,2.0
4.0,1.0,5.0,3.0,2.0
5.0,1.0,3.0,4.0,2.0
4.0,2.0,5.0,3.0,1.0
4.0,3.0,1.0,5.0,2.0
3.0,4.0,1.0,5.0,2.0
2.0,3.0,5.0,4.0,1.0
5.0,3.0,1.0,4.0,2.0
5.0,3.0,1.0,4.0,2.0
1.0,3.0,5.0,2.0,4.0
4.0,2.0,5.0,3.0,1.0
5.0,3.0,2.0,4.0,1.0
5.0,3.0,2.0,4.0,1.0
1.0,3.0,5.0,4.0,2.0
4.0,2.0,5.0,3.0,1.0
3.0,5.0,2.0,4.0,1.0
5.0,3.0,2.0,4.0,1.0
4.0,1.0,5.0,3.0,2.0
4.0,5.0,2.0,3.0,1.0
5.0,3.0,2.0,4.0,1.0
5.0,3.0,1.0,4.0,2.0
3.0,4.0,5.0,2.0,1.0
3.0,4.0,1.0,5.0,2.0
4.0,2.0,5.0,3.0,1.0
5.0,3.0,2.0,4.0,1.0
5.0,3.0,2.0,4.0,1.0
5.0,3.0,2.0,4.0,1.0
5.0,3.0,2.0,4.0,1.0
3.0,4.0,5.0,2.0,1.0
4.0,5.0,2.0,3.0,1.0
5.0,3.0,2.0,4.0,1.0

3.74,3.24,3.07,3.35,1.6

1.2216,1.1926,1.6867,0.9206,0.8367

0.7278,0.61,0.5501
