CV,Kliep,MKliep,KernelDensity,MKernelDensity
4.0,2.0,nan,1.0,3.0
4.0,2.0,nan,1.0,3.0
3.0,2.0,nan,1.0,4.0
3.0,1.0,nan,2.0,4.0
3.0,2.0,nan,1.0,4.0
3.0,2.0,nan,1.0,4.0
4.0,2.0,nan,1.0,3.0
3.0,2.0,nan,1.0,4.0
3.0,2.0,nan,1.0,4.0
4.0,2.0,nan,1.0,3.0
3.0,2.0,nan,1.0,4.0
3.0,2.0,nan,1.0,4.0
3.0,2.0,nan,1.0,4.0
3.0,2.0,nan,1.0,4.0
3.0,2.0,nan,1.0,4.0
3.0,2.0,nan,1.0,4.0
3.0,2.0,nan,1.0,4.0
4.0,2.0,nan,1.0,3.0
3.0,2.0,nan,1.0,4.0
3.0,2.0,nan,1.0,4.0
4.0,2.0,nan,1.0,3.0
4.0,2.0,nan,1.0,3.0
4.0,2.0,nan,1.0,3.0
4.0,2.0,nan,1.0,3.0
4.0,2.0,nan,1.0,3.0
4.0,2.0,nan,1.0,3.0
3.0,2.0,nan,1.0,4.0
4.0,2.0,nan,1.0,3.0
4.0,2.0,nan,1.0,3.0
4.0,2.0,nan,1.0,3.0
4.0,2.0,nan,1.0,3.0
3.0,2.0,nan,1.0,4.0
4.0,2.0,nan,1.0,3.0
4.0,2.0,nan,1.0,3.0
4.0,2.0,nan,1.0,3.0
4.0,2.0,nan,1.0,3.0
3.0,1.0,nan,4.0,2.0
4.0,2.0,nan,1.0,3.0
4.0,3.0,nan,1.0,2.0
4.0,2.0,nan,1.0,3.0
3.0,1.0,nan,2.0,4.0
4.0,2.0,nan,1.0,3.0
4.0,2.0,nan,1.0,3.0
4.0,2.0,nan,1.0,3.0
4.0,1.0,nan,3.0,2.0
4.0,2.0,nan,1.0,3.0
3.0,2.0,nan,1.0,4.0
4.0,2.0,nan,1.0,3.0
4.0,2.0,nan,1.0,3.0
4.0,2.0,nan,1.0,3.0
4.0,2.0,nan,1.0,3.0
4.0,2.0,nan,1.0,3.0
4.0,2.0,nan,1.0,3.0
4.0,2.0,nan,1.0,3.0
4.0,2.0,nan,1.0,3.0
4.0,2.0,nan,1.0,3.0
4.0,2.0,nan,1.0,3.0
4.0,2.0,nan,1.0,3.0
4.0,2.0,nan,1.0,3.0
4.0,2.0,nan,1.0,3.0
4.0,2.0,nan,1.0,3.0
4.0,2.0,nan,1.0,3.0
4.0,2.0,nan,1.0,3.0
4.0,2.0,nan,1.0,3.0
3.0,2.0,nan,1.0,4.0
3.0,2.0,nan,1.0,4.0
3.0,2.0,nan,1.0,4.0
3.0,2.0,nan,1.0,4.0
4.0,2.0,nan,1.0,3.0
4.0,2.0,nan,1.0,3.0
4.0,2.0,nan,1.0,3.0
3.0,2.0,nan,1.0,4.0
4.0,2.0,nan,1.0,3.0
4.0,2.0,nan,1.0,3.0
3.0,2.0,nan,1.0,4.0
3.0,1.0,nan,2.0,4.0
3.0,1.0,nan,2.0,4.0
4.0,2.0,nan,1.0,3.0
4.0,2.0,nan,1.0,3.0
3.0,2.0,nan,1.0,4.0
4.0,2.0,nan,1.0,3.0
4.0,3.0,nan,1.0,2.0
4.0,2.0,nan,1.0,3.0
4.0,2.0,nan,1.0,3.0
4.0,2.0,nan,1.0,3.0
4.0,2.0,nan,1.0,3.0
4.0,2.0,nan,1.0,3.0
4.0,2.0,nan,1.0,3.0
4.0,2.0,nan,1.0,3.0
4.0,2.0,nan,1.0,3.0
4.0,3.0,nan,1.0,2.0
4.0,2.0,nan,1.0,3.0
4.0,3.0,nan,1.0,2.0
4.0,2.0,nan,1.0,3.0
4.0,2.0,nan,1.0,3.0
4.0,2.0,nan,1.0,3.0
4.0,2.0,nan,1.0,3.0
4.0,2.0,nan,1.0,3.0
4.0,3.0,nan,1.0,2.0
2.0,1.0,nan,4.0,3.0

3.69,1.98,nan,1.12,3.21

0.4836,0.3458,nan,0.4956,0.5531

0.7278,0.61,0.5501
