CV,Kliep,MKliep,KernelDensity,MKernelDensity
4.0,3.0,nan,2.0,1.0
4.0,2.0,nan,1.0,3.0
2.0,1.0,nan,3.0,4.0
4.0,3.0,nan,1.0,2.0
4.0,2.0,nan,1.0,3.0
4.0,3.0,nan,1.0,2.0
3.0,2.0,nan,1.0,4.0
4.0,2.0,nan,1.0,3.0
3.0,2.0,nan,1.0,4.0
4.0,2.0,nan,1.0,3.0
3.0,2.0,nan,1.0,4.0
4.0,2.0,nan,1.0,3.0
4.0,3.0,nan,2.0,1.0
4.0,3.0,nan,1.0,2.0
4.0,3.0,nan,2.0,1.0
2.0,4.0,nan,3.0,1.0
4.0,3.0,nan,2.0,1.0
4.0,3.0,nan,1.0,2.0
4.0,3.0,nan,1.0,2.0
2.0,4.0,nan,3.0,1.0
4.0,3.0,nan,1.0,2.0
2.0,3.0,nan,1.0,4.0
4.0,3.0,nan,2.0,1.0
2.0,3.0,nan,4.0,1.0
4.0,3.0,nan,2.0,1.0
2.0,4.0,nan,1.0,3.0
4.0,3.0,nan,1.0,2.0
4.0,3.0,nan,1.0,2.0
4.0,3.0,nan,1.0,2.0
3.0,2.0,nan,4.0,1.0
4.0,3.0,nan,1.0,2.0
4.0,3.0,nan,2.0,1.0
2.0,3.0,nan,1.0,4.0
4.0,3.0,nan,1.0,2.0
4.0,3.0,nan,1.0,2.0
4.0,3.0,nan,2.0,1.0
4.0,3.0,nan,1.0,2.0
2.0,3.0,nan,1.0,4.0
4.0,3.0,nan,2.0,1.0
4.0,3.0,nan,1.0,2.0
1.0,2.0,nan,4.0,3.0
4.0,3.0,nan,1.0,2.0
4.0,3.0,nan,1.0,2.0
4.0,3.0,nan,1.0,2.0
4.0,3.0,nan,1.0,2.0
3.0,2.0,nan,1.0,4.0
4.0,3.0,nan,1.0,2.0
2.0,3.0,nan,1.0,4.0
4.0,3.0,nan,1.0,2.0
3.0,2.0,nan,1.0,4.0
4.0,3.0,nan,1.0,2.0
4.0,2.0,nan,1.0,3.0
4.0,2.0,nan,1.0,3.0
4.0,2.0,nan,1.0,3.0
2.0,4.0,nan,3.0,1.0
1.0,2.0,nan,4.0,3.0
2.0,1.0,nan,3.0,4.0
3.0,2.0,nan,1.0,4.0
4.0,2.0,nan,1.0,3.0
3.0,2.0,nan,1.0,4.0
2.0,1.0,nan,4.0,3.0
3.0,2.0,nan,1.0,4.0
1.0,2.0,nan,4.0,3.0
3.0,2.0,nan,1.0,4.0
3.0,2.0,nan,1.0,4.0
1.0,2.0,nan,3.0,4.0
3.0,2.0,nan,1.0,4.0
3.0,2.0,nan,1.0,4.0
3.0,2.0,nan,1.0,4.0
4.0,2.0,nan,1.0,3.0
4.0,3.0,nan,1.0,2.0
3.0,2.0,nan,1.0,4.0
3.0,1.0,nan,2.0,4.0
4.0,3.0,nan,2.0,1.0
2.0,1.0,nan,3.0,4.0
4.0,2.0,nan,1.0,3.0
3.0,2.0,nan,1.0,4.0
3.0,2.0,nan,1.0,4.0
3.0,2.0,nan,1.0,4.0
2.0,1.0,nan,4.0,3.0
4.0,2.0,nan,1.0,3.0
3.0,4.0,nan,1.0,2.0
1.0,2.0,nan,4.0,3.0
4.0,3.0,nan,2.0,1.0
4.0,2.0,nan,1.0,3.0
1.0,2.0,nan,3.0,4.0
4.0,2.0,nan,1.0,3.0
1.0,2.0,nan,4.0,3.0
3.0,2.0,nan,1.0,4.0
3.0,2.0,nan,1.0,4.0
4.0,3.0,nan,1.0,2.0
4.0,2.0,nan,1.0,3.0
3.0,1.0,nan,2.0,4.0
2.0,3.0,nan,1.0,4.0
4.0,3.0,nan,1.0,2.0
1.0,2.0,nan,3.0,4.0
3.0,2.0,nan,1.0,4.0
1.0,2.0,nan,4.0,3.0
3.0,2.0,nan,1.0,4.0
2.0,4.0,nan,3.0,1.0

3.16,2.46,nan,1.63,2.75

0.9972,0.713,nan,1.0164,1.0989

0.7278,0.61,0.5501
