CV,Kliep,MKliep,KernelDensity,MKernelDensity
4.0,3.0,nan,1.0,2.0
4.0,3.0,nan,1.0,2.0
2.0,3.0,nan,4.0,1.0
4.0,3.0,nan,2.0,1.0
4.0,3.0,nan,2.0,1.0
3.0,4.0,nan,1.0,2.0
4.0,3.0,nan,1.0,2.0
3.0,2.0,nan,1.0,4.0
3.0,2.0,nan,1.0,4.0
4.0,3.0,nan,2.0,1.0
4.0,3.0,nan,1.0,2.0
4.0,3.0,nan,1.0,2.0
3.0,1.0,nan,2.0,4.0
3.0,4.0,nan,2.0,1.0
4.0,3.0,nan,1.0,2.0
1.0,2.0,nan,3.0,4.0
3.0,2.0,nan,1.0,4.0
2.0,1.0,nan,3.0,4.0
4.0,3.0,nan,1.0,2.0
3.0,2.0,nan,1.0,4.0
3.0,4.0,nan,2.0,1.0
4.0,3.0,nan,1.0,2.0
3.0,4.0,nan,2.0,1.0
4.0,2.0,nan,3.0,1.0
3.0,4.0,nan,2.0,1.0
3.0,4.0,nan,2.0,1.0
3.0,4.0,nan,2.0,1.0
4.0,3.0,nan,1.0,2.0
1.0,3.0,nan,2.0,4.0
3.0,4.0,nan,2.0,1.0
4.0,3.0,nan,2.0,1.0
2.0,3.0,nan,4.0,1.0
4.0,3.0,nan,1.0,2.0
4.0,3.0,nan,1.0,2.0
4.0,3.0,nan,2.0,1.0
2.0,3.0,nan,4.0,1.0
3.0,4.0,nan,2.0,1.0
4.0,3.0,nan,2.0,1.0
1.0,3.0,nan,4.0,2.0
4.0,2.0,nan,3.0,1.0
4.0,3.0,nan,1.0,2.0
3.0,2.0,nan,4.0,1.0
1.0,2.0,nan,4.0,3.0
3.0,2.0,nan,1.0,4.0
3.0,2.0,nan,1.0,4.0
3.0,2.0,nan,1.0,4.0
4.0,1.0,nan,2.0,3.0
1.0,3.0,nan,4.0,2.0
3.0,2.0,nan,1.0,4.0
3.0,2.0,nan,1.0,4.0
3.0,2.0,nan,4.0,1.0
3.0,2.0,nan,1.0,4.0
3.0,2.0,nan,1.0,4.0
3.0,2.0,nan,1.0,4.0
2.0,4.0,nan,1.0,3.0
4.0,2.0,nan,1.0,3.0
4.0,2.0,nan,1.0,3.0
3.0,1.0,nan,2.0,4.0
4.0,1.0,nan,3.0,2.0
4.0,2.0,nan,1.0,3.0
3.0,2.0,nan,1.0,4.0
3.0,2.0,nan,1.0,4.0
3.0,2.0,nan,1.0,4.0
2.0,3.0,nan,1.0,4.0
4.0,3.0,nan,1.0,2.0
2.0,3.0,nan,1.0,4.0
2.0,3.0,nan,1.0,4.0
4.0,3.0,nan,1.0,2.0
3.0,4.0,nan,1.0,2.0
1.0,3.0,nan,2.0,4.0
2.0,1.0,nan,3.0,4.0
4.0,3.0,nan,1.0,2.0
4.0,2.0,nan,1.0,3.0
4.0,3.0,nan,1.0,2.0
2.0,4.0,nan,1.0,3.0
4.0,1.0,nan,3.0,2.0
4.0,3.0,nan,2.0,1.0
3.0,4.0,nan,1.0,2.0
3.0,2.0,nan,1.0,4.0
3.0,2.0,nan,1.0,4.0
4.0,3.0,nan,1.0,2.0
1.0,2.0,nan,3.0,4.0
3.0,4.0,nan,2.0,1.0
2.0,3.0,nan,1.0,4.0
1.0,2.0,nan,3.0,4.0
4.0,3.0,nan,2.0,1.0
4.0,3.0,nan,1.0,2.0
2.0,3.0,nan,4.0,1.0
4.0,3.0,nan,2.0,1.0
4.0,2.0,nan,1.0,3.0
4.0,3.0,nan,1.0,2.0
4.0,3.0,nan,1.0,2.0
3.0,4.0,nan,2.0,1.0
3.0,2.0,nan,1.0,4.0
3.0,2.0,nan,1.0,4.0
3.0,2.0,nan,1.0,4.0
1.0,3.0,nan,4.0,2.0
3.0,1.0,nan,2.0,4.0
4.0,3.0,nan,1.0,2.0
4.0,3.0,nan,2.0,1.0

3.11,2.66,nan,1.74,2.49

0.937,0.8273,nan,0.9861,1.2206

0.7278,0.61,0.5501
