CV,Kliep,MKliep,KernelDensity,MKernelDensity
5.0,2.0,3.0,1.0,4.0
4.0,1.0,3.0,5.0,2.0
1.0,4.0,2.0,5.0,3.0
5.0,2.0,3.0,1.0,4.0
4.0,1.0,3.0,5.0,2.0
5.0,2.0,3.0,1.0,4.0
5.0,2.0,3.0,1.0,4.0
5.0,2.0,4.0,1.0,3.0
5.0,2.0,3.0,1.0,4.0
5.0,2.0,3.0,1.0,4.0
5.0,2.0,3.0,1.0,4.0
5.0,2.0,4.0,1.0,3.0
5.0,2.0,3.0,1.0,4.0
4.0,1.0,3.0,5.0,2.0
1.0,4.0,2.0,5.0,3.0
4.0,3.0,2.0,5.0,1.0
3.0,4.0,1.0,5.0,2.0
5.0,2.0,3.0,1.0,4.0
1.0,4.0,2.0,5.0,3.0
3.0,4.0,1.0,5.0,2.0
3.0,4.0,1.0,5.0,2.0
5.0,1.0,4.0,2.0,3.0
3.0,4.0,1.0,5.0,2.0
3.0,4.0,1.0,5.0,2.0
3.0,4.0,1.0,5.0,2.0
5.0,1.0,2.0,4.0,3.0
5.0,2.0,4.0,1.0,3.0
3.0,1.0,5.0,2.0,4.0
3.0,4.0,1.0,5.0,2.0
5.0,2.0,3.0,1.0,4.0
3.0,4.0,1.0,5.0,2.0
5.0,2.0,3.0,1.0,4.0
3.0,4.0,1.0,5.0,2.0
3.0,4.0,1.0,5.0,2.0
3.0,4.0,1.0,5.0,2.0
5.0,2.0,3.0,1.0,4.0
3.0,4.0,1.0,5.0,2.0
3.0,5.0,1.0,4.0,2.0
5.0,2.0,3.0,1.0,4.0
3.0,4.0,2.0,5.0,1.0
5.0,2.0,3.0,1.0,4.0
3.0,4.0,2.0,5.0,1.0
5.0,2.0,3.0,1.0,4.0
5.0,2.0,3.0,1.0,4.0
5.0,2.0,3.0,1.0,4.0
5.0,2.0,3.0,1.0,4.0
4.0,5.0,2.0,1.0,3.0
3.0,5.0,2.0,4.0,1.0
1.0,5.0,2.0,4.0,3.0
3.0,4.0,1.0,5.0,2.0
5.0,2.0,3.0,1.0,4.0
5.0,1.0,3.0,2.0,4.0
5.0,2.0,3.0,1.0,4.0
1.0,4.0,3.0,5.0,2.0
5.0,2.0,3.0,1.0,4.0
1.0,5.0,2.0,4.0,3.0
3.0,1.0,4.0,2.0,5.0
5.0,2.0,3.0,1.0,4.0
5.0,2.0,3.0,1.0,4.0
5.0,2.0,3.0,1.0,4.0
5.0,2.0,3.0,1.0,4.0
5.0,2.0,3.0,1.0,4.0
5.0,2.0,3.0,1.0,4.0
5.0,2.0,3.0,1.0,4.0
3.0,4.0,1.0,5.0,2.0
3.0,4.0,1.0,5.0,2.0
3.0,4.0,1.0,5.0,2.0
4.0,1.0,2.0,5.0,3.0
4.0,1.0,3.0,2.0,5.0
5.0,2.0,3.0,1.0,4.0
5.0,2.0,3.0,1.0,4.0
3.0,2.0,4.0,1.0,5.0
5.0,2.0,3.0,1.0,4.0
3.0,4.0,1.0,5.0,2.0
4.0,5.0,1.0,3.0,2.0
3.0,5.0,1.0,4.0,2.0
1.0,4.0,2.0,5.0,3.0
5.0,2.0,3.0,1.0,4.0
3.0,4.0,1.0,5.0,2.0
5.0,2.0,3.0,1.0,4.0
5.0,2.0,3.0,1.0,4.0
5.0,1.0,3.0,2.0,4.0
2.0,4.0,3.0,5.0,1.0
5.0,2.0,3.0,1.0,4.0
5.0,1.0,2.0,4.0,3.0
3.0,4.0,1.0,5.0,2.0
2.0,4.0,1.0,5.0,3.0
5.0,2.0,3.0,1.0,4.0
3.0,5.0,1.0,4.0,2.0
5.0,2.0,3.0,1.0,4.0
4.0,1.0,2.0,5.0,3.0
2.0,1.0,3.0,5.0,4.0
5.0,1.0,3.0,2.0,4.0
1.0,4.0,3.0,5.0,2.0
5.0,2.0,3.0,1.0,4.0
5.0,2.0,3.0,1.0,4.0
5.0,2.0,4.0,1.0,3.0
5.0,2.0,3.0,1.0,4.0
5.0,2.0,3.0,1.0,4.0
5.0,1.0,3.0,2.0,4.0

3.94,2.67,2.46,2.78,3.15

1.2792,1.2653,0.9635,1.8525,1.0235

0.7278,0.61,0.5501
