CV,Kliep,MKliep,KernelDensity,MKernelDensity
4.0,nan,3.0,1.0,2.0
3.0,5.0,2.0,4.0,1.0
3.0,nan,1.0,4.0,2.0
5.0,2.0,3.0,1.0,4.0
3.0,4.0,1.0,5.0,2.0
3.0,nan,1.0,4.0,2.0
5.0,1.0,4.0,3.0,2.0
2.0,nan,3.0,4.0,1.0
3.0,nan,2.0,4.0,1.0
3.0,nan,2.0,4.0,1.0
3.0,nan,2.0,4.0,1.0
1.0,nan,3.0,4.0,2.0
3.0,4.0,1.0,5.0,2.0
4.0,5.0,3.0,1.0,2.0
4.0,2.0,5.0,3.0,1.0
3.0,4.0,2.0,5.0,1.0
1.0,nan,3.0,4.0,2.0
4.0,nan,3.0,1.0,2.0
4.0,5.0,2.0,1.0,3.0
3.0,5.0,1.0,4.0,2.0
5.0,1.0,2.0,4.0,3.0
4.0,1.0,2.0,5.0,3.0
4.0,5.0,3.0,1.0,2.0
5.0,2.0,3.0,1.0,4.0
5.0,2.0,3.0,1.0,4.0
1.0,5.0,3.0,4.0,2.0
2.0,5.0,3.0,4.0,1.0
1.0,4.0,3.0,5.0,2.0
5.0,1.0,2.0,4.0,3.0
5.0,4.0,3.0,1.0,2.0
1.0,5.0,4.0,2.0,3.0
2.0,5.0,4.0,3.0,1.0
5.0,4.0,3.0,1.0,2.0
3.0,5.0,2.0,4.0,1.0
5.0,2.0,3.0,1.0,4.0
1.0,5.0,3.0,4.0,2.0
3.0,5.0,2.0,4.0,1.0
4.0,5.0,3.0,1.0,2.0
1.0,4.0,3.0,5.0,2.0
1.0,5.0,3.0,4.0,2.0
2.0,4.0,3.0,5.0,1.0
1.0,4.0,2.0,5.0,3.0
1.0,4.0,3.0,5.0,2.0
2.0,5.0,3.0,4.0,1.0
3.0,4.0,1.0,5.0,2.0
1.0,4.0,2.0,5.0,3.0
3.0,4.0,2.0,5.0,1.0
3.0,4.0,2.0,5.0,1.0
1.0,4.0,3.0,5.0,2.0
5.0,1.0,2.0,4.0,3.0
3.0,nan,1.0,4.0,2.0
1.0,5.0,2.0,4.0,3.0
3.0,nan,1.0,4.0,2.0
1.0,5.0,2.0,4.0,3.0
3.0,4.0,1.0,5.0,2.0
3.0,5.0,2.0,4.0,1.0
4.0,5.0,2.0,1.0,3.0
1.0,4.0,3.0,5.0,2.0
3.0,4.0,2.0,5.0,1.0
1.0,5.0,3.0,4.0,2.0
2.0,5.0,3.0,4.0,1.0
2.0,nan,1.0,4.0,3.0
4.0,1.0,3.0,5.0,2.0
5.0,4.0,2.0,1.0,3.0
1.0,5.0,2.0,3.0,4.0
4.0,1.0,2.0,5.0,3.0
5.0,4.0,2.0,1.0,3.0
2.0,1.0,5.0,3.0,4.0
3.0,nan,1.0,4.0,2.0
4.0,nan,3.0,1.0,2.0
4.0,nan,2.0,1.0,3.0
4.0,nan,2.0,1.0,3.0
3.0,nan,1.0,4.0,2.0
5.0,1.0,4.0,2.0,3.0
3.0,nan,1.0,4.0,2.0
4.0,nan,2.0,1.0,3.0
4.0,nan,2.0,1.0,3.0
5.0,3.0,2.0,1.0,4.0
4.0,nan,2.0,1.0,3.0
2.0,nan,1.0,4.0,3.0
3.0,4.0,2.0,5.0,1.0
5.0,3.0,4.0,1.0,2.0
1.0,4.0,3.0,5.0,2.0
2.0,1.0,3.0,5.0,4.0
1.0,4.0,3.0,5.0,2.0
4.0,1.0,2.0,5.0,3.0
1.0,4.0,3.0,5.0,2.0
3.0,4.0,1.0,5.0,2.0
5.0,1.0,3.0,2.0,4.0
5.0,4.0,3.0,1.0,2.0
4.0,5.0,2.0,1.0,3.0
1.0,4.0,3.0,5.0,2.0
3.0,1.0,4.0,5.0,2.0
4.0,5.0,3.0,1.0,2.0
5.0,2.0,4.0,1.0,3.0
3.0,4.0,1.0,5.0,2.0
5.0,4.0,2.0,1.0,3.0
5.0,2.0,4.0,1.0,3.0
5.0,2.0,3.0,1.0,4.0
1.0,4.0,3.0,5.0,2.0

3.08,nan,2.45,3.29,2.28

1.419,nan,0.9206,1.6328,0.8841

0.7278,0.61,0.5501
