CV,Kliep,MKliep,KernelDensity,MKernelDensity
1.0,4.0,3.0,5.0,2.0
5.0,3.0,2.0,1.0,4.0
1.0,4.0,2.0,5.0,3.0
1.0,4.0,3.0,5.0,2.0
1.0,4.0,3.0,5.0,2.0
4.0,1.0,3.0,5.0,2.0
2.0,4.0,1.0,5.0,3.0
5.0,2.0,4.0,1.0,3.0
3.0,4.0,2.0,5.0,1.0
1.0,3.0,2.0,5.0,4.0
2.0,4.0,1.0,5.0,3.0
5.0,1.0,3.0,2.0,4.0
1.0,4.0,2.0,5.0,3.0
4.0,3.0,1.0,5.0,2.0
4.0,3.0,1.0,5.0,2.0
1.0,4.0,3.0,5.0,2.0
3.0,4.0,1.0,5.0,2.0
2.0,4.0,1.0,5.0,3.0
5.0,2.0,4.0,1.0,3.0
5.0,2.0,3.0,4.0,1.0
2.0,4.0,1.0,5.0,3.0
3.0,4.0,1.0,5.0,2.0
3.0,5.0,1.0,4.0,2.0
3.0,4.0,1.0,5.0,2.0
3.0,4.0,1.0,5.0,2.0
1.0,4.0,2.0,5.0,3.0
3.0,4.0,1.0,5.0,2.0
3.0,4.0,1.0,5.0,2.0
3.0,5.0,1.0,4.0,2.0
1.0,4.0,2.0,5.0,3.0
3.0,5.0,1.0,4.0,2.0
1.0,4.0,2.0,5.0,3.0
2.0,4.0,1.0,5.0,3.0
3.0,4.0,1.0,5.0,2.0
3.0,4.0,1.0,5.0,2.0
1.0,5.0,2.0,4.0,3.0
1.0,4.0,2.0,5.0,3.0
2.0,4.0,1.0,5.0,3.0
1.0,4.0,2.0,5.0,3.0
1.0,4.0,2.0,5.0,3.0
3.0,4.0,2.0,5.0,1.0
3.0,4.0,2.0,5.0,1.0
4.0,3.0,1.0,5.0,2.0
3.0,4.0,2.0,5.0,1.0
2.0,4.0,1.0,5.0,3.0
1.0,4.0,2.0,5.0,3.0
3.0,1.0,2.0,5.0,4.0
1.0,4.0,2.0,5.0,3.0
3.0,5.0,1.0,4.0,2.0
3.0,4.0,1.0,5.0,2.0
1.0,4.0,2.0,5.0,3.0
3.0,5.0,1.0,4.0,2.0
4.0,3.0,1.0,5.0,2.0
3.0,4.0,1.0,5.0,2.0
3.0,4.0,1.0,5.0,2.0
5.0,1.0,3.0,4.0,2.0
2.0,4.0,1.0,5.0,3.0
1.0,4.0,3.0,5.0,2.0
1.0,4.0,2.0,5.0,3.0
2.0,4.0,1.0,5.0,3.0
4.0,5.0,3.0,1.0,2.0
3.0,4.0,2.0,5.0,1.0
1.0,4.0,2.0,5.0,3.0
3.0,2.0,4.0,5.0,1.0
3.0,4.0,1.0,5.0,2.0
3.0,4.0,1.0,5.0,2.0
2.0,4.0,3.0,5.0,1.0
1.0,4.0,2.0,5.0,3.0
3.0,4.0,1.0,5.0,2.0
3.0,4.0,1.0,5.0,2.0
3.0,5.0,2.0,4.0,1.0
5.0,2.0,3.0,1.0,4.0
4.0,5.0,2.0,1.0,3.0
2.0,4.0,3.0,5.0,1.0
3.0,5.0,1.0,4.0,2.0
3.0,5.0,1.0,4.0,2.0
3.0,4.0,2.0,5.0,1.0
3.0,4.0,1.0,5.0,2.0
3.0,5.0,1.0,4.0,2.0
2.0,4.0,1.0,5.0,3.0
5.0,1.0,4.0,2.0,3.0
4.0,1.0,5.0,2.0,3.0
2.0,3.0,4.0,5.0,1.0
5.0,2.0,4.0,1.0,3.0
1.0,4.0,5.0,2.0,3.0
5.0,2.0,4.0,1.0,3.0
2.0,1.0,5.0,3.0,4.0
2.0,4.0,3.0,5.0,1.0
5.0,2.0,3.0,1.0,4.0
5.0,2.0,4.0,1.0,3.0
2.0,4.0,1.0,5.0,3.0
3.0,4.0,1.0,5.0,2.0
1.0,4.0,3.0,5.0,2.0
5.0,2.0,4.0,1.0,3.0
3.0,2.0,4.0,5.0,1.0
2.0,4.0,3.0,5.0,1.0
5.0,4.0,1.0,3.0,2.0
1.0,3.0,5.0,4.0,2.0
3.0,2.0,4.0,5.0,1.0
5.0,1.0,4.0,2.0,3.0

2.73,3.56,2.12,4.24,2.35

1.318,1.0984,1.1856,1.3574,0.8292

0.7278,0.61,0.5501
