CV,Kliep,MKliep,KernelDensity,MKernelDensity
3.0,2.0,4.0,1.0,5.0
2.0,5.0,4.0,1.0,3.0
5.0,2.0,3.0,1.0,4.0
2.0,3.0,5.0,1.0,4.0
4.0,5.0,1.0,3.0,2.0
3.0,2.0,5.0,1.0,4.0
2.0,3.0,5.0,1.0,4.0
2.0,3.0,5.0,1.0,4.0
2.0,3.0,5.0,1.0,4.0
3.0,2.0,5.0,1.0,4.0
5.0,4.0,2.0,1.0,3.0
5.0,4.0,3.0,1.0,2.0
3.0,2.0,5.0,1.0,4.0
2.0,3.0,4.0,1.0,5.0
2.0,3.0,5.0,1.0,4.0
3.0,2.0,5.0,1.0,4.0
2.0,3.0,5.0,1.0,4.0
2.0,3.0,5.0,1.0,4.0
2.0,3.0,5.0,1.0,4.0
4.0,5.0,3.0,1.0,2.0
1.0,2.0,5.0,3.0,4.0
1.0,2.0,4.0,3.0,5.0
3.0,1.0,4.0,2.0,5.0
4.0,2.0,5.0,1.0,3.0
2.0,3.0,4.0,1.0,5.0
2.0,3.0,4.0,1.0,5.0
2.0,4.0,1.0,5.0,3.0
2.0,1.0,3.0,4.0,5.0
2.0,1.0,3.0,4.0,5.0
1.0,3.0,4.0,2.0,5.0
4.0,3.0,1.0,5.0,2.0
2.0,1.0,4.0,3.0,5.0
2.0,3.0,5.0,1.0,4.0
3.0,4.0,2.0,5.0,1.0
3.0,1.0,4.0,2.0,5.0
2.0,1.0,4.0,3.0,5.0
3.0,2.0,5.0,1.0,4.0
3.0,2.0,5.0,1.0,4.0
3.0,2.0,4.0,1.0,5.0
3.0,1.0,4.0,2.0,5.0
5.0,2.0,3.0,1.0,4.0
1.0,3.0,4.0,2.0,5.0
3.0,5.0,4.0,1.0,2.0
5.0,2.0,3.0,1.0,4.0
5.0,1.0,3.0,2.0,4.0
4.0,1.0,5.0,2.0,3.0
3.0,4.0,1.0,2.0,5.0
3.0,2.0,4.0,1.0,5.0
1.0,3.0,4.0,2.0,5.0
2.0,3.0,5.0,1.0,4.0
1.0,5.0,4.0,2.0,3.0
5.0,2.0,4.0,1.0,3.0
2.0,5.0,4.0,1.0,3.0
4.0,2.0,3.0,1.0,5.0
5.0,2.0,3.0,1.0,4.0
1.0,3.0,5.0,2.0,4.0
5.0,2.0,1.0,3.0,4.0
2.0,3.0,5.0,1.0,4.0
1.0,2.0,4.0,3.0,5.0
4.0,1.0,3.0,2.0,5.0
2.0,1.0,5.0,3.0,4.0
4.0,5.0,2.0,3.0,1.0
1.0,2.0,4.0,5.0,3.0
1.0,2.0,4.0,3.0,5.0
5.0,1.0,3.0,2.0,4.0
3.0,2.0,5.0,1.0,4.0
1.0,3.0,2.0,5.0,4.0
5.0,3.0,1.0,4.0,2.0
5.0,4.0,2.0,3.0,1.0
3.0,1.0,4.0,2.0,5.0
1.0,5.0,3.0,4.0,2.0
2.0,4.0,5.0,1.0,3.0
5.0,4.0,3.0,1.0,2.0
5.0,3.0,2.0,4.0,1.0
5.0,3.0,1.0,4.0,2.0
1.0,3.0,4.0,5.0,2.0
1.0,5.0,4.0,2.0,3.0
1.0,5.0,3.0,4.0,2.0
1.0,4.0,3.0,5.0,2.0
1.0,2.0,4.0,5.0,3.0
3.0,5.0,4.0,1.0,2.0
5.0,2.0,4.0,1.0,3.0
4.0,5.0,2.0,3.0,1.0
5.0,4.0,3.0,1.0,2.0
1.0,3.0,5.0,2.0,4.0
5.0,4.0,3.0,1.0,2.0
1.0,3.0,4.0,2.0,5.0
4.0,5.0,3.0,1.0,2.0
2.0,3.0,5.0,1.0,4.0
5.0,4.0,3.0,1.0,2.0
1.0,5.0,4.0,2.0,3.0
3.0,2.0,5.0,1.0,4.0
4.0,5.0,3.0,1.0,2.0
5.0,4.0,3.0,1.0,2.0
3.0,1.0,4.0,2.0,5.0
3.0,5.0,2.0,4.0,1.0
5.0,4.0,1.0,3.0,2.0
3.0,2.0,5.0,1.0,4.0
5.0,1.0,2.0,4.0,3.0
4.0,5.0,2.0,3.0,1.0

2.92,2.91,3.62,2.06,3.49

1.426,1.2969,1.2147,1.3101,1.253

0.7278,0.61,0.5501
