CV,Kliep,MKliep,KernelDensity,MKernelDensity
2.0,1.0,5.0,3.0,4.0
4.0,3.0,1.0,5.0,2.0
5.0,3.0,2.0,4.0,1.0
3.0,4.0,2.0,5.0,1.0
3.0,1.0,5.0,2.0,4.0
4.0,3.0,2.0,5.0,1.0
3.0,4.0,2.0,5.0,1.0
3.0,4.0,2.0,5.0,1.0
4.0,3.0,2.0,5.0,1.0
3.0,1.0,5.0,2.0,4.0
1.0,4.0,5.0,2.0,3.0
1.0,3.0,4.0,2.0,5.0
4.0,3.0,2.0,5.0,1.0
3.0,4.0,1.0,5.0,2.0
4.0,1.0,2.0,5.0,3.0
1.0,2.0,5.0,3.0,4.0
3.0,4.0,1.0,5.0,2.0
3.0,4.0,2.0,5.0,1.0
1.0,2.0,3.0,5.0,4.0
1.0,2.0,5.0,3.0,4.0
5.0,2.0,3.0,1.0,4.0
3.0,2.0,4.0,1.0,5.0
5.0,4.0,3.0,1.0,2.0
3.0,2.0,4.0,1.0,5.0
3.0,2.0,4.0,1.0,5.0
3.0,4.0,2.0,1.0,5.0
3.0,4.0,1.0,5.0,2.0
5.0,2.0,3.0,1.0,4.0
5.0,3.0,2.0,1.0,4.0
3.0,2.0,4.0,1.0,5.0
2.0,1.0,4.0,5.0,3.0
2.0,3.0,4.0,1.0,5.0
3.0,2.0,1.0,5.0,4.0
3.0,5.0,2.0,1.0,4.0
2.0,3.0,4.0,1.0,5.0
5.0,2.0,3.0,1.0,4.0
2.0,1.0,3.0,5.0,4.0
4.0,5.0,2.0,1.0,3.0
5.0,3.0,2.0,1.0,4.0
4.0,5.0,2.0,1.0,3.0
3.0,4.0,2.0,1.0,5.0
1.0,3.0,4.0,2.0,5.0
5.0,4.0,2.0,1.0,3.0
5.0,3.0,2.0,1.0,4.0
4.0,3.0,2.0,5.0,1.0
4.0,3.0,2.0,5.0,1.0
5.0,1.0,4.0,3.0,2.0
5.0,4.0,1.0,3.0,2.0
4.0,5.0,2.0,3.0,1.0
4.0,3.0,2.0,5.0,1.0
4.0,3.0,1.0,5.0,2.0
1.0,2.0,3.0,5.0,4.0
5.0,4.0,2.0,3.0,1.0
4.0,5.0,2.0,1.0,3.0
5.0,4.0,3.0,1.0,2.0
2.0,1.0,5.0,4.0,3.0
5.0,4.0,3.0,1.0,2.0
2.0,1.0,5.0,4.0,3.0
5.0,3.0,1.0,4.0,2.0
5.0,4.0,3.0,1.0,2.0
3.0,1.0,4.0,2.0,5.0
4.0,5.0,2.0,3.0,1.0
2.0,3.0,1.0,4.0,5.0
4.0,3.0,5.0,1.0,2.0
3.0,4.0,2.0,5.0,1.0
3.0,4.0,2.0,5.0,1.0
1.0,2.0,5.0,4.0,3.0
2.0,4.0,5.0,3.0,1.0
3.0,1.0,5.0,2.0,4.0
4.0,5.0,2.0,1.0,3.0
3.0,4.0,2.0,5.0,1.0
3.0,4.0,1.0,5.0,2.0
4.0,1.0,2.0,5.0,3.0
2.0,5.0,3.0,1.0,4.0
4.0,3.0,5.0,1.0,2.0
5.0,4.0,2.0,3.0,1.0
4.0,5.0,2.0,3.0,1.0
3.0,4.0,1.0,5.0,2.0
5.0,4.0,2.0,1.0,3.0
4.0,3.0,5.0,1.0,2.0
3.0,4.0,1.0,5.0,2.0
4.0,5.0,3.0,1.0,2.0
5.0,4.0,3.0,1.0,2.0
2.0,4.0,5.0,1.0,3.0
2.0,4.0,1.0,5.0,3.0
2.0,3.0,1.0,5.0,4.0
2.0,4.0,5.0,1.0,3.0
2.0,3.0,5.0,1.0,4.0
2.0,4.0,1.0,5.0,3.0
2.0,4.0,1.0,5.0,3.0
2.0,3.0,5.0,1.0,4.0
1.0,4.0,5.0,2.0,3.0
4.0,3.0,1.0,5.0,2.0
4.0,2.0,1.0,3.0,5.0
3.0,1.0,4.0,2.0,5.0
3.0,4.0,2.0,1.0,5.0
2.0,4.0,1.0,5.0,3.0
3.0,5.0,4.0,1.0,2.0
4.0,5.0,2.0,1.0,3.0
4.0,5.0,2.0,1.0,3.0

3.26,3.21,2.77,2.87,2.89

1.2216,1.219,1.399,1.7473,1.3483

0.7278,0.61,0.5501
