CV,Kliep,MKliep,KernelDensity,MKernelDensity
4.0,nan,2.0,3.0,1.0
1.0,nan,4.0,2.0,3.0
3.5,nan,1.0,3.5,2.0
1.5,nan,4.0,1.5,3.0
3.0,nan,2.0,4.0,1.0
3.5,nan,1.0,3.5,2.0
3.5,nan,1.0,3.5,2.0
1.5,nan,4.0,1.5,3.0
3.0,nan,1.0,4.0,2.0
1.0,nan,2.0,4.0,3.0
1.5,nan,4.0,1.5,3.0
1.5,nan,4.0,1.5,3.0
3.5,nan,1.0,3.5,2.0
1.5,nan,3.0,1.5,4.0
3.5,nan,1.0,3.5,2.0
1.0,nan,2.0,4.0,3.0
2.0,nan,3.0,4.0,1.0
3.5,nan,1.0,3.5,2.0
1.5,nan,4.0,1.5,3.0
1.5,nan,4.0,1.5,3.0
2.5,nan,4.0,2.5,1.0
3.5,nan,2.0,3.5,1.0
1.5,nan,4.0,1.5,3.0
1.5,nan,3.0,1.5,4.0
3.5,nan,1.0,3.5,2.0
2.5,nan,4.0,2.5,1.0
3.5,nan,1.0,3.5,2.0
3.5,nan,1.0,3.5,2.0
3.5,nan,2.0,3.5,1.0
3.5,nan,1.0,3.5,2.0
3.5,nan,2.0,3.5,1.0
2.5,nan,4.0,2.5,1.0
1.0,nan,3.0,2.0,4.0
1.5,nan,4.0,1.5,3.0
3.5,nan,1.0,3.5,2.0
1.5,nan,4.0,1.5,3.0
2.5,nan,4.0,2.5,1.0
1.5,nan,4.0,1.5,3.0
2.5,nan,nan,2.5,1.0
3.0,nan,1.0,4.0,2.0
3.5,nan,1.0,3.5,2.0
3.5,nan,1.0,3.5,2.0
3.5,nan,2.0,3.5,1.0
3.5,nan,1.0,3.5,2.0
2.5,nan,4.0,2.5,1.0
3.5,nan,2.0,3.5,1.0
3.5,nan,1.0,3.5,2.0
3.5,nan,2.0,3.5,1.0
3.5,nan,1.0,3.5,2.0
3.5,nan,2.0,3.5,1.0
3.5,nan,2.0,3.5,1.0
3.5,nan,1.0,3.5,2.0
3.5,nan,2.0,3.5,1.0
3.5,nan,2.0,3.5,1.0
3.5,nan,2.0,3.5,1.0
3.5,nan,1.0,3.5,2.0
3.0,nan,1.0,4.0,2.0
1.5,nan,4.0,1.5,3.0
3.5,nan,2.0,3.5,1.0
3.5,nan,2.0,3.5,1.0
4.0,nan,2.0,1.0,3.0
3.0,nan,1.0,4.0,2.0
1.5,nan,3.0,1.5,4.0
3.5,nan,1.0,3.5,2.0
3.5,nan,2.0,3.5,1.0
2.5,nan,4.0,2.5,1.0
2.5,nan,4.0,2.5,1.0
3.0,nan,2.0,4.0,1.0
3.5,nan,2.0,3.5,1.0
3.5,nan,2.0,3.5,1.0
3.5,nan,1.0,3.5,2.0
2.5,nan,1.0,2.5,4.0
3.5,nan,2.0,3.5,1.0
3.5,nan,2.0,3.5,1.0
1.5,nan,4.0,1.5,3.0
3.5,nan,1.0,3.5,2.0
3.5,nan,1.0,3.5,2.0
3.5,nan,2.0,3.5,1.0
3.0,nan,1.0,4.0,2.0
2.5,nan,4.0,2.5,1.0
1.0,nan,3.0,4.0,2.0
1.0,nan,3.0,4.0,2.0
1.5,nan,3.0,1.5,4.0
3.5,nan,1.0,3.5,2.0
1.5,nan,3.0,1.5,4.0
1.0,nan,2.0,4.0,3.0
1.5,nan,3.0,1.5,4.0
3.5,nan,2.0,3.5,1.0
1.0,nan,3.0,4.0,2.0
3.5,nan,2.0,3.5,1.0
3.5,nan,2.0,3.5,1.0
1.5,nan,3.0,1.5,4.0
2.5,nan,1.0,2.5,4.0
2.5,nan,4.0,2.5,1.0
3.5,nan,1.0,3.5,2.0
1.5,nan,3.0,1.5,4.0
2.5,nan,1.0,2.5,4.0
1.0,nan,2.0,4.0,3.0
3.0,nan,2.0,4.0,1.0
1.5,nan,4.0,1.5,3.0

2.68,nan,nan,2.97,2.06

0.9527,nan,nan,0.916,1.018

0.7278,0.61,0.5501
