CV,Kliep,MKliep,KernelDensity,MKernelDensity
3.0,nan,2.0,1.0,4.0
3.0,2.0,4.0,1.0,5.0
2.0,nan,4.0,1.0,3.0
4.0,nan,2.0,1.0,3.0
3.0,nan,2.0,1.0,4.0
4.0,nan,2.0,1.0,3.0
2.0,nan,3.0,1.0,4.0
2.0,nan,3.0,1.0,4.0
2.0,nan,4.0,1.0,3.0
2.0,nan,4.0,1.0,3.0
3.0,2.0,4.0,1.0,5.0
3.0,nan,2.0,1.0,4.0
4.0,nan,2.0,1.0,3.0
2.0,nan,4.0,1.0,3.0
3.0,2.0,4.0,1.0,5.0
4.0,nan,3.0,1.0,2.0
3.0,2.0,4.0,1.0,5.0
2.0,nan,3.0,1.0,4.0
2.0,nan,4.0,1.0,3.0
4.0,nan,2.0,1.0,3.0
2.0,nan,1.0,3.0,4.0
1.0,nan,3.0,4.0,2.0
4.0,nan,2.0,1.0,3.0
3.0,nan,2.0,1.0,4.0
2.0,nan,1.0,3.0,4.0
1.0,nan,4.0,2.0,3.0
4.0,nan,1.0,2.0,3.0
3.0,nan,2.0,1.0,4.0
3.0,nan,2.0,1.0,4.0
4.0,2.0,3.0,1.0,5.0
2.0,nan,1.0,4.0,3.0
1.0,nan,2.0,4.0,3.0
4.0,nan,2.0,1.0,3.0
3.0,nan,2.0,1.0,4.0
4.0,nan,2.0,1.0,3.0
3.0,1.0,2.0,5.0,4.0
3.0,2.0,4.0,1.0,5.0
4.0,nan,2.0,1.0,3.0
4.0,nan,2.0,1.0,3.0
4.0,nan,2.0,1.0,3.0
2.0,nan,4.0,1.0,3.0
2.0,nan,4.0,1.0,3.0
4.0,nan,3.0,1.0,2.0
1.0,nan,4.0,2.0,3.0
1.0,nan,3.0,4.0,2.0
3.0,2.0,5.0,1.0,4.0
2.0,nan,4.0,1.0,3.0
2.0,nan,4.0,1.0,3.0
2.0,nan,4.0,1.0,3.0
3.0,2.0,4.0,1.0,5.0
2.0,nan,4.0,1.0,3.0
4.0,nan,3.0,1.0,2.0
2.0,nan,4.0,1.0,3.0
1.0,nan,3.0,4.0,2.0
3.0,nan,4.0,1.0,2.0
1.0,nan,4.0,3.0,2.0
2.0,nan,4.0,1.0,3.0
1.0,nan,4.0,2.0,3.0
2.0,nan,4.0,1.0,3.0
2.0,5.0,4.0,1.0,3.0
2.0,nan,4.0,1.0,3.0
3.0,nan,4.0,1.0,2.0
2.0,nan,4.0,1.0,3.0
4.0,nan,3.0,1.0,2.0
1.0,2.0,4.0,5.0,3.0
1.0,nan,3.0,4.0,2.0
3.0,nan,4.0,1.0,2.0
4.0,nan,2.0,1.0,3.0
1.0,nan,3.0,4.0,2.0
1.0,nan,3.0,4.0,2.0
4.0,nan,2.0,1.0,3.0
1.0,nan,4.0,3.0,2.0
2.0,nan,4.0,1.0,3.0
4.0,nan,2.0,1.0,3.0
4.0,nan,3.0,1.0,2.0
2.0,nan,4.0,1.0,3.0
4.0,nan,2.0,1.0,3.0
1.0,nan,3.0,4.0,2.0
2.0,nan,4.0,1.0,3.0
2.0,nan,4.0,1.0,3.0
2.0,nan,4.0,1.0,3.0
3.0,1.0,5.0,2.0,4.0
2.0,nan,4.0,1.0,3.0
2.0,nan,4.0,1.0,3.0
2.0,nan,4.0,1.0,3.0
3.0,nan,4.0,2.0,1.0
1.0,nan,4.0,3.0,2.0
1.0,nan,3.0,4.0,2.0
3.0,nan,4.0,1.0,2.0
3.0,nan,4.0,1.0,2.0
3.0,2.0,5.0,1.0,4.0
3.0,nan,4.0,1.0,2.0
1.0,nan,3.0,4.0,2.0
4.0,nan,3.0,1.0,2.0
2.0,1.0,4.0,5.0,3.0
3.0,nan,4.0,1.0,2.0
1.0,nan,4.0,3.0,2.0
2.0,nan,4.0,1.0,3.0
2.0,nan,4.0,1.0,3.0
2.0,1.0,4.0,5.0,3.0

2.51,nan,3.26,1.67,3.02

1.0246,nan,0.9759,1.217,0.86

0.7278,0.61,0.5501
